spread_line,result,normalized_modeled_prob
-15.5,-38,1.19%
-15.5,-37,0.60%
-15.5,-36,0.26%
-15.5,-35,0.76%
-15.5,-34,1.58%
-15.5,-33,0.86%
-15.5,-32,1.00%
-15.5,-31,1.97%
-15.5,-30,1.07%
-15.5,-29,1.26%
-15.5,-28,2.46%
-15.5,-27,1.26%
-15.5,-26,0.58%
-15.5,-25,1.65%
-15.5,-24,3.39%
-15.5,-23,1.80%
-15.5,-22,2.21%
-15.5,-21,4.46%
-15.5,-20,2.16%
-15.5,-19,0.87%
-15.5,-18,3.32%
-15.5,-17,7.30%
-15.5,-16,3.52%
-15.5,-15,3.48%
-15.5,-14,7.22%
-15.5,-13,3.29%
-15.5,-12,0.86%
-15.5,-11,2.14%
-15.5,-10,4.41%
-15.5,-9,2.18%
-15.5,-8,1.78%
-15.5,-7,3.35%
-15.5,-6,1.63%
-15.5,-5,0.58%
-15.5,-4,1.25%
-15.5,-3,2.43%
-15.5,-2,1.20%
-15.5,-1,0.40%
-15.5,0,0.08%
-15.5,1,0.33%
-15.5,2,0.82%
-15.5,3,1.60%
-15.5,4,0.77%
-15.5,5,0.26%
-15.5,6,0.60%
-15.5,7,1.19%
-15.5,8,0.58%
-15.5,9,0.50%
-15.5,10,0.97%
-15.5,11,0.44%
-15.5,12,0.12%
-15.5,13,0.35%
-15.5,14,0.74%
-15.5,15,0.34%
-15.5,16,0.30%
-15.5,17,0.61%
-15.5,18,0.26%
-15.5,19,0.05%
-15.5,20,0.21%
-15.5,21,0.48%
-15.5,22,0.22%
-15.5,23,0.19%
-15.5,24,0.41%
-15.5,25,0.17%
-15.5,26,0.03%
-15.5,27,0.14%
-15.5,28,0.33%
-15.5,29,0.15%
-15.5,30,0.13%
-15.5,31,0.29%
-15.5,32,0.12%
-15.5,33,0.01%
-15.5,34,0.00%
-15.5,35,0.00%
-15.5,36,0.00%
-15.5,37,0.00%
-15.5,38,0.00%
-15.5,39,0.00%
-15.5,40,0.00%
-15.5,41,0.00%
-15.5,42,0.00%
-15.5,43,0.00%
-15.5,44,0.00%
-15.5,45,0.00%
-15.5,46,0.00%
-15.5,47,0.00%
-15.5,48,0.00%
-15.5,49,0.00%
-15.5,50,0.00%
-15.5,51,0.00%
-15.5,52,0.00%
-15.5,53,0.00%
-15.5,54,0.00%
-15.5,55,0.00%
-15.5,56,0.00%
-15.5,57,0.00%
-15.5,58,0.00%
-15.5,59,0.00%
-15.5,60,0.00%
-15.5,61,0.00%
-15.5,62,0.00%
-15.5,63,0.00%
-15.5,64,0.00%
-15.5,65,0.00%
-15.5,66,0.00%
-15.5,67,0.00%
-15.5,68,0.00%
-15.5,69,0.00%
-15.5,70,0.00%
-15.5,71,0.00%
-15.5,72,0.00%
-15.5,73,0.00%
-15.5,74,0.00%
-15,-75,0.00%
-15,-74,0.00%
-15,-73,0.00%
-15,-72,0.00%
-15,-71,0.00%
-15,-70,0.00%
-15,-69,0.00%
-15,-68,0.00%
-15,-67,0.00%
-15,-66,0.00%
-15,-65,0.00%
-15,-64,0.00%
-15,-63,0.00%
-15,-62,0.00%
-15,-61,0.00%
-15,-60,0.00%
-15,-59,0.00%
-15,-58,0.00%
-15,-57,0.01%
-15,-56,0.01%
-15,-55,0.01%
-15,-54,0.01%
-15,-53,0.01%
-15,-52,0.02%
-15,-51,0.02%
-15,-50,0.02%
-15,-49,0.03%
-15,-48,0.03%
-15,-47,0.04%
-15,-46,0.05%
-15,-45,0.08%
-15,-44,0.37%
-15,-43,0.85%
-15,-42,0.74%
-15,-41,0.97%
-15,-40,0.49%
-15,-39,0.57%
-15,-38,1.16%
-15,-37,0.58%
-15,-36,0.25%
-15,-35,0.74%
-15,-34,1.54%
-15,-33,0.83%
-15,-32,0.97%
-15,-31,1.92%
-15,-30,1.04%
-15,-29,1.22%
-15,-28,2.40%
-15,-27,1.23%
-15,-26,0.57%
-15,-25,1.61%
-15,-24,3.29%
-15,-23,1.76%
-15,-22,2.14%
-15,-21,4.29%
-15,-20,2.09%
-15,-19,0.86%
-15,-18,3.13%
-15,-17,6.82%
-15,-16,3.35%
-15,-15,3.73%
-15,-14,7.70%
-15,-13,3.48%
-15,-12,0.87%
-15,-11,2.18%
-15,-10,4.52%
-15,-9,2.23%
-15,-8,1.81%
-15,-7,3.41%
-15,-6,1.66%
-15,-5,0.58%
-15,-4,1.26%
-15,-3,2.46%
-15,-2,1.21%
-15,-1,0.40%
-15,0,0.08%
-15,1,0.34%
-15,2,0.83%
-15,3,1.62%
-15,4,0.78%
-15,5,0.27%
-15,6,0.61%
-15,7,1.21%
-15,8,0.59%
-15,9,0.51%
-15,10,0.97%
-15,11,0.45%
-15,12,0.13%
-15,13,0.35%
-15,14,0.74%
-15,15,0.35%
-15,16,0.30%
-15,17,0.61%
-15,18,0.27%
-15,19,0.06%
-15,20,0.21%
-15,21,0.48%
-15,22,0.22%
-15,23,0.19%
-15,24,0.41%
-15,25,0.17%
-15,26,0.03%
-15,27,0.14%
-15,28,0.33%
-15,29,0.15%
-15,30,0.13%
-15,31,0.29%
-15,32,0.12%
-15,33,0.02%
-15,34,0.10%
-15,35,0.24%
-15,36,0.10%
-15,37,0.01%
-15,38,0.00%
-15,39,0.00%
-15,40,0.00%
-15,41,0.00%
-15,42,0.00%
-15,43,0.00%
-15,44,0.00%
-15,45,0.00%
-15,46,0.00%
-15,47,0.00%
-15,48,0.00%
-15,49,0.00%
-15,50,0.00%
-15,51,0.00%
-15,52,0.00%
-15,53,0.00%
-15,54,0.00%
-15,55,0.00%
-15,56,0.00%
-15,57,0.00%
-15,58,0.00%
-15,59,0.00%
-15,60,0.00%
-15,61,0.00%
-15,62,0.00%
-15,63,0.00%
-15,64,0.00%
-15,65,0.00%
-15,66,0.00%
-15,67,0.00%
-15,68,0.00%
-15,69,0.00%
-15,70,0.00%
-15,71,0.00%
-15,72,0.00%
-15,73,0.00%
-15,74,0.00%
-14.5,-75,0.00%
-14.5,-74,0.00%
-14.5,-73,0.00%
-14.5,-72,0.00%
-14.5,-71,0.00%
-14.5,-70,0.00%
-14.5,-69,0.00%
-14.5,-68,0.00%
-14.5,-67,0.00%
-14.5,-66,0.00%
-14.5,-65,0.00%
-14.5,-64,0.00%
-14.5,-63,0.00%
-14.5,-62,0.00%
-14.5,-61,0.00%
-14.5,-60,0.00%
-14.5,-59,0.00%
-14.5,-58,0.00%
-14.5,-57,0.00%
-14.5,-56,0.01%
-14.5,-55,0.01%
-14.5,-54,0.01%
-14.5,-53,0.01%
-14.5,-52,0.01%
-14.5,-51,0.02%
-14.5,-50,0.02%
-14.5,-49,0.03%
-14.5,-48,0.03%
-14.5,-47,0.04%
-14.5,-46,0.04%
-14.5,-45,0.07%
-14.5,-44,0.36%
-14.5,-43,0.82%
-14.5,-42,0.71%
-14.5,-41,0.93%
-14.5,-40,0.47%
-14.5,-39,0.54%
-14.5,-38,1.12%
-14.5,-37,0.56%
-14.5,-36,0.24%
-14.5,-35,0.71%
-14.5,-34,1.48%
-14.5,-33,0.80%
-14.5,-32,0.93%
-14.5,-31,1.84%
-14.5,-30,1.00%
-14.5,-29,1.17%
-14.5,-28,2.30%
-14.5,-27,1.19%
-14.5,-26,0.55%
-14.5,-25,1.54%
-14.5,-24,3.15%
-14.5,-23,1.69%
-14.5,-22,2.04%
-14.5,-21,4.08%
-14.5,-20,2.00%
-14.5,-19,0.83%
-14.5,-18,2.92%
-14.5,-17,6.33%
-14.5,-16,3.17%
-14.5,-15,4.20%
-14.5,-14,8.47%
-14.5,-13,3.78%
-14.5,-12,0.89%
-14.5,-11,2.24%
-14.5,-10,4.67%
-14.5,-9,2.29%
-14.5,-8,1.85%
-14.5,-7,3.50%
-14.5,-6,1.69%
-14.5,-5,0.59%
-14.5,-4,1.29%
-14.5,-3,2.51%
-14.5,-2,1.24%
-14.5,-1,0.41%
-14.5,0,0.08%
-14.5,1,0.35%
-14.5,2,0.85%
-14.5,3,1.65%
-14.5,4,0.80%
-14.5,5,0.28%
-14.5,6,0.62%
-14.5,7,1.23%
-14.5,8,0.60%
-14.5,9,0.52%
-14.5,10,0.99%
-14.5,11,0.46%
-14.5,12,0.13%
-14.5,13,0.36%
-14.5,14,0.75%
-14.5,15,0.35%
-14.5,16,0.30%
-14.5,17,0.62%
-14.5,18,0.27%
-14.5,19,0.06%
-14.5,20,0.22%
-14.5,21,0.49%
-14.5,22,0.22%
-14.5,23,0.19%
-14.5,24,0.41%
-14.5,25,0.17%
-14.5,26,0.03%
-14.5,27,0.14%
-14.5,28,0.34%
-14.5,29,0.15%
-14.5,30,0.13%
-14.5,31,0.29%
-14.5,32,0.12%
-14.5,33,0.02%
-14.5,34,0.10%
-14.5,35,0.24%
-14.5,36,0.10%
-14.5,37,0.01%
-14.5,38,0.00%
-14.5,39,0.00%
-14.5,40,0.00%
-14.5,41,0.00%
-14.5,42,0.00%
-14.5,43,0.00%
-14.5,44,0.00%
-14.5,45,0.00%
-14.5,46,0.00%
-14.5,47,0.00%
-14.5,48,0.00%
-14.5,49,0.00%
-14.5,50,0.00%
-14.5,51,0.00%
-14.5,52,0.00%
-14.5,53,0.00%
-14.5,54,0.00%
-14.5,55,0.00%
-14.5,56,0.00%
-14.5,57,0.00%
-14.5,58,0.00%
-14.5,59,0.00%
-14.5,60,0.00%
-14.5,61,0.00%
-14.5,62,0.00%
-14.5,63,0.00%
-14.5,64,0.00%
-14.5,65,0.00%
-14.5,66,0.00%
-14.5,67,0.00%
-14.5,68,0.00%
-14.5,69,0.00%
-14.5,70,0.00%
-14.5,71,0.00%
-14.5,72,0.00%
-14.5,73,0.00%
-14.5,74,0.00%
-14,-75,0.00%
-14,-74,0.00%
-14,-73,0.00%
-14,-72,0.00%
-14,-71,0.00%
-14,-70,0.00%
-14,-69,0.00%
-14,-68,0.00%
